Account Short Name,Segment,Key Account Type,V1,Perf Reporting?,,2018 Division,2019 Division,2019 BMP Label,2020 Division,2020 BU Label,2020 DIV Label,2020 Business Model Label,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",,2019 Prod Code,2020 Prod Code,Domain,EcoX,Margin,,OpportunityScope,EcoX?,EcoX Domain1,EcoX Domain2,EcoX Domain3,,"2020 For 
Reporting",2020 Division,,Product Line,"Original 
Product Line","2020 Mapped 
Product Line",Division-2019,"2020 
Current/Old",2020 Division,"2020 For 
Reporting",US Reporting Div,NAM Ops?,"US P&L, L1","US P&L, L2","US P&L, L3",,,Services,,,ESX L2L3,,,Adv+SW,,,,,,,,UPD 3.2.2021,,,,,,,,,,,,,Flywheel Ref Data,,,,
The Cleveland Clinic,Buildings - Healthcare(excl),CTA Candidate,Orsorio Jackson,0,,Energy,LV MV Services,LV MV Services,Power Field Services,SV,PO,SCE Power Field Services,,ENENS - Electrical Networks Solutions,ENENS,DPENS,,OLD,Digital Energy,Digital Power,,PTPCL,PTPCL,Power,0.5,,,Cross-Selling with Invensys;Microgrid;ASCO/Schneider Cross Sell,0,0,0,0,,,,,ENENS - Electrical Networks Solutions,ENENS,DPENS,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBPRD,SOFTWARE & DIGITAL SRV,ECOSTRUXURE BLDG OPRTN,1,DBPRD-SOFTWARE & DIGITAL SRV-ECOSTRUXURE BLDG OPRTN,BLDG EBO,,DGRID-APM-APM ARR,Asset Management,DGRID,APM,APM ARR,DGRID-APM-APM ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,SPCLG,0.92,,,
UPMC,Buildings - Healthcare,CTA,Brian Keemer,1,,ITD,Secure Power Services,Secure Power Services,Secure Power Field Services,SV,SS,SCE Secure Power Services,,INENP - Energy Automation Products,INENP,DPENP,,OLD,Digital Energy,Digital Power,,SFTWR,IDSFT,Plant/Machine,1,0.65,,Cross-Selling with Invensys;Microgrid;Commercial & Industrial,0,0,0,0,,,,,INENP - Energy Automation Products,INENP,DPENP,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBPRD,SOFTWARE & DIGITAL SRV,OTHER SOFTWARE,1,DBPRD-SOFTWARE & DIGITAL SRV-OTHER SOFTWARE,BLDG Software,,DGRID-APM-APM SVC,Asset Management,DGRID,APM,APM SVC,DGRID-APM-APM SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,SPMDC,1,,,
WSP Montreal,Buildings - Healthcare(excl),Strategic,Not V1 scope,0,,Energy,Smart Grid Services,Smart Grid Services,Smart Grid Services,SV,GR,SCE Smart Grid Services,,INENS - Electrical Networks Projects,INENS,DPENS,,OLD,Digital Energy,Digital Power,,SWOLG,IDSFT,Plant/Machine,1,0.65,,Datacenter,0,0,0,0,,,,,INENS - Electrical Networks Projects,INENS,DPENS,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Building,DBSL2,CYBERSECURITY PROJECTS,CYBERSECURITY PROJECTS,1,DBSL2-CYBERSECURITY PROJECTS-CYBERSECURITY PROJECTS,BLDG CyberSec,,DGRID-APM-APM SW,Asset Management,DGRID,APM,APM SW,DGRID-APM-APM SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,SPRSY,0.499,,,
AEG,Buildings - Hotels,CTA Candidate,Chris Magee,1,,Solar,Solar,Solar,Solar,SO,SO,Solar,,INTEN - Telvent Energy,INTEN,DPENS,,OLD,Digital Energy,Digital Power,,SWOPS,IDSFT,Plant/Machine,1,0.65,,Datacenter;Commercial & Industrial,0,0,0,0,,,,,INTEN - Telvent Energy,INTEN,DPENS,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,CYBERSEC SERVICES,CYBERSEC services,0,DGRID-CYBERSEC SERVICES-CYBERSEC services,Grid Cyber Sec,,DGRID-ARCFM-ARCFM ARR,Asset Management,DGRID,ARCFM,ARCFM ARR,DGRID-ARCFM-ARCFM ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,SPSL2,1,,,
Boyd Gaming,Buildings - Hotels,CTA Candidate,Chris Magee,1,,Cloud,Cloud,Cloud,Cloud Services,GC,GC,OLD Cloud Services,,PTMET - Power Metering Products,PTMET,DPSOL,,OLD,Digital Energy,Digital Power,,SWHMI,IDSFT,Plant/Machine,1,0.65,,Datacenter;Connectivity EcoSystem,0,0,0,0,,,,,PTMET - Power Metering Products,PTMET,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,EPO,EPO ARR,0,DGRID-EPO-EPO ARR,Grid Software,,DGRID-ARCFM-ARCFM SVC,Asset Management,DGRID,ARCFM,ARCFM SVC,DGRID-ARCFM-ARCFM SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,IDSDS,1,,,
Caesars,Buildings - Hotels,CTA,Chris Magee,1,,,,,,,,,,PTPFC - Power Factor Corre&Filt,PTPFC,DPSOL,,OLD,Digital Energy,Digital Power,,SIOLG,IDSFT,Plant/Machine,1,0.65,,Datacenter;Cross-Selling with Invensys,0,0,0,0,,,,,PTPFC - Power Factor Corre&Filt,PTPFC,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,EPO,EPO SVC,0,DGRID-EPO-EPO SVC,Grid Software,,DGRID-ARCFM-ARCFM SW,Asset Management,DGRID,ARCFM,ARCFM SW,DGRID-ARCFM-ARCFM SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,IDVSD,1,,,
Hard Rock,Buildings - Hotels,CTA Candidate,Chris Magee,1,,,,,,,,,,PTSOL - Power Solutions,PTSOL,DPSOL,,OLD,Digital Energy,Digital Power,,SWDSO,IDSFT,Plant/Machine,1,0.65,,Datacenter;Distributed IT,0,0,0,0,,,,,PTSOL - Power Solutions,PTSOL,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,EPO,EPO SW,0,DGRID-EPO-EPO SW,Grid Software,,DGRID-ARCFM Mobile-ARCFM MOBILE SW,Asset Management,DGRID,ARCFM Mobile,ARCFM MOBILE SW,DGRID-ARCFM Mobile-ARCFM MOBILE SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Hilton,Buildings - Hotels,Strategic,Tyler Haak,1,,,,,,,,,,PTSYS - Partner Systems,PTSYS,DPSOL,,OLD,Digital Energy,Digital Power,,IDMST,IDMST,Plant/Machine,1,0.385772588,,Datacenter;Distributed IT;EcoStruxure IT,1,IT,0,0,,,,,PTSYS - Partner Systems,PTSYS,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,HES,HES ARR,0,DGRID-HES-HES ARR,Grid Software,,DGRID-ARCFM Mobile-ARCFM Mobile ARR,Asset Management,DGRID,ARCFM Mobile,ARCFM Mobile ARR,DGRID-ARCFM Mobile-ARCFM Mobile ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
IHG,Buildings - Hotels,Strategic,Tyler Haak,1,,,,,,,,,,PWMET - Power Metering Products,PWMET,DPSOL,,OLD,Digital Energy,Digital Power,,IDPAC,IDPAC,Plant/Machine,1,0.692026669,,Datacenter;EcoStruxure Building,1,Building,0,0,,,,,PWMET - Power Metering Products,PWMET,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,HES,HES SVC,0,DGRID-HES-HES SVC,Grid Software,,DGRID-ARCFM Mobile-ARCFM Mobile SVC,Asset Management,DGRID,ARCFM Mobile,ARCFM Mobile SVC,DGRID-ARCFM Mobile-ARCFM Mobile SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Marriott,Buildings - Hotels,Strategic,Tyler Haak,1,,,,,,,,,,PWPFC - Power Factor Corre&Filt,PWPFC,DPSOL,,OLD,Digital Energy,Digital Power,,IDOL2,IDOL2,Plant/Machine,1,0.385772588,,Datacenter;EcoStruxure Building;EcoStruxure IT,1,Building,IT,0,,,,,PWPFC - Power Factor Corre&Filt,PWPFC,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,HES,HES SW,0,DGRID-HES-HES SW,Grid Software,,DGRID-CYBERSEC SERVICES-CYBERSEC services,Cybersecurity,DGRID,CYBERSEC SERVICES,CYBERSEC services,DGRID-CYBERSEC SERVICES-CYBERSEC services,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Cybersecurity,Power,,,,,,
MGM,Buildings - Hotels,CTA,Chris Magee,1,,,,,,,,,,PWSYS - Power Systems,PWSYS,DPSOL,,OLD,Digital Energy,Digital Power,,IDPSO,IDPSO,Plant/Machine,1,0.475737626,,Datacenter;EcoStruxure Grid,1,Grid,0,0,,,,,PWSYS - Power Systems,PWSYS,DPSOL,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,LVA,LVA ARR,0,DGRID-LVA-LVA ARR,Grid Software,,DGRID-DERMS-DERMS ARR,Operations Management,DGRID,DERMS,DERMS ARR,DGRID-DERMS-DERMS ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
Brookfield,Buildings - Healthcare(excl),Strategic,Not V1 scope,0,,,,,,,,,,SIELE - Grid Automation Sol,SIELE,DPENS,,OLD,Digital Energy,Digital Power,,ITDCM,SPSFT,IT,1,0.320708003,,Datacenter;EcoStruxure Integrated Solution;Commercial & Industrial,1,Integrated Solution,0,0,,,,,SIELE - Grid Automation Sol,SIELE,DPENS,,OLD,Digital Energy,Digital Power,Power,NAM Ops,Energy Management,Energy Mgmt w.o Services,Power w.o Services,,,,,,,,,Grid,DGRID,LVA,LVA SVC,0,DGRID-LVA-LVA SVC,Grid Software,,DGRID-DERMS-DERMS SVC,Operations Management,DGRID,DERMS,DERMS SVC,DGRID-DERMS-DERMS SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
Cushman & Wakefield,Buildings - Real Estate,MCTA,Lachlan Coffey,1,,,,,,,,,,ENSFT - Energy Software,ENSFT,ENSFT,,Current,Energy Management off Matrix,Energy Management off Matrix,,SPSFT,SPSFT,IT,1,0.320708003,,Datacenter;EcoStruxure Integrated Solution;Microgrid,1,Integrated Solution,0,0,,,,,ENSFT - Energy Software,ENSFT,EMSFT,,Current,Energy Management off Matrix,Energy Management off Matrix,Energy Management off Matrix,Outside NAM Ops,EM Off Matrix,EM Off Matrix,EM Off Matrix,,,,,,,,,Grid,DGRID,LVA,LVA SW,0,DGRID-LVA-LVA SW,Grid Software,,DGRID-DERMS-DERMS SW,Operations Management,DGRID,DERMS,DERMS SW,DGRID-DERMS-DERMS SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
Hines,Buildings - Healthcare(excl),MCTA,Not V1 scope,0,,,,,,,,,,ITHPP - Home Power Products (Luminous),ITHPP,ITHPP,Home & Distribution,Current,Energy Management off Matrix,Energy Management off Matrix,,SISGT,SISGT,Grid,1,0.3,,Datacenter;EcoStruxure IT,1,IT,0,0,,,,,ITHPP - Home Power Products (Luminous),ITHPP,ITHPP,Home & Distribution,Current,Energy Management off Matrix,Energy Management off Matrix,Energy Management off Matrix,Outside NAM Ops,EM Off Matrix,EM Off Matrix,EM Off Matrix,,,,,,,,,Grid,DGRID,MDM,MDM ARR,0,DGRID-MDM-MDM ARR,Grid Software,,DGRID-DESIGNER-DESIGNER ARR,Asset Management,DGRID,DESIGNER,DESIGNER ARR,DGRID-DESIGNER-DESIGNER ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Jones Lang Lasalle,Buildings - Real Estate,MCTA,Lachlan Coffey,1,,,,,,,,,,PTSG2 - Partner S2 products,PTSG2,PTSG2,Home & Distribution,Current,Energy Management off Matrix,Energy Management off Matrix,,,SFTWR,Plant/Machine,1,,,Datacenter;EcoStruxure IT;EcoStruxure Plant,1,Plant,IT,0,,,,,PTSG2 - Partner S2 products,PTSG2,PTSG2,Home & Distribution,Current,Energy Management off Matrix,Energy Management off Matrix,Energy Management off Matrix,Outside NAM Ops,EM Off Matrix,EM Off Matrix,EM Off Matrix,,,,,,,,,Grid,DGRID,MDM,MDM SVC,0,DGRID-MDM-MDM SVC,Grid Software,,DGRID-DESIGNER-DESIGNER SVC,Asset Management,DGRID,DESIGNER,DESIGNER SVC,DGRID-DESIGNER-DESIGNER SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Lendlease,Buildings - Real Estate,MCTA,Brian Newdeck,1,,,,,,,,,,PWSG2 - Power S2 Products,PWSG2,PTSG2,Home & Distribution,OLD,Energy Management off Matrix,Energy Management off Matrix,,,SWOLG,Plant/Machine,1,,,Datacenter;EcoStruxure IT;EcoStruxure Power,1,Power,IT,0,,,,,PWSG2 - Power S2 Products,PWSG2,PTSG2,Home & Distribution,OLD,Energy Management off Matrix,Energy Management off Matrix,Energy Management off Matrix,Outside NAM Ops,EM Off Matrix,EM Off Matrix,EM Off Matrix,,,,,,,,,Grid,DGRID,MDM,MDM SW,0,DGRID-MDM-MDM SW,Grid Software,,DGRID-DESIGNER-DESIGNER SW,Asset Management,DGRID,DESIGNER,DESIGNER SW,DGRID-DESIGNER-DESIGNER SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
OVG,Buildings - Healthcare(excl),MCTA,Not V1 scope,0,,,,,,,,,,BDADS - Building Professional Services,BDADS,ESEEP,,OLD,ESS,ESS,,,SWOPS,Plant/Machine,1,,,Datacenter;EcoStruxure IT;Supplier B2B Initiative,1,IT,0,0,,,,,BDADS - Building Professional Services,BDADS,ESEEP,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Grid,DPENS,SOLUTIONS,EMO - EMA,1,DPENS-SOLUTIONS-EMO - EMA,Grid Software,,DGRID-DMS-DMS,Operations Management,DGRID,DMS,DMS,DGRID-DMS-DMS,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
Tishman Speyer,Buildings - Healthcare(excl),MCTA,Not V1 scope,0,,,,,,,,,,ESEEP - Energy Efficiency Projects,ESEEP,ESEEP,,Current,ESS,ESS,,,SWHMI,Plant/Machine,1,,,Datacenter;EcoStruxure Plant,1,Plant,0,0,,,,,ESEEP - Energy Efficiency Projects,ESEEP,ESEEP,,Current,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPIBS,Cyber thru Field Sce,CYBERSECURITY SERVICES,0,DPIBS-Cyber thru Field Sce-CYBERSECURITY SERVICES,Power CyberSec,,DGRID-EMS-EMS ARR,Operations Management,DGRID,EMS,EMS ARR,DGRID-EMS-EMS ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
3M,CPG (F&B/LifeSci),MCTA,Lisa Causarano,1,,,,,,,,,,ESEPC - Energy Performance Contracting,ESEPC,ESEPC,,Current,ESS,ESS,,,SIOLG,Plant/Machine,1,,,Datacenter;EcoStruxure Power,1,Power,0,0,,,,,ESEPC - Energy Performance Contracting,ESEPC,ESEPC,,Current,ESS,ESS - Perf Contr,ESS,Outside NAM Ops,ESS,ESS - Perf Contr,ESS - Perf Contr,,,,,,,,,Power,DPIBS,Dig instal commis sce,Asset Advisor Setup,0,DPIBS-Dig instal commis sce-Asset Advisor Setup,Power Asset Advisor,,DGRID-EMS-EMS SVC,Operations Management,DGRID,EMS,EMS SVC,DGRID-EMS-EMS SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
ADM,CPG (F&B/LifeSci)(excl),MCTA,Removed,0,,,,,,,,,,ESMON - Energy Service Monitoring,ESMON,ESMON,,Current,ESS,ESS,,,SWDSO,Plant/Machine,1,,,Datacenter;Microgrid,0,0,0,0,,,,,ESMON - Energy Service Monitoring,ESMON,ESMON,,Current,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPIBS,Dig instal commis sce,Power Advisor Setup,0,DPIBS-Dig instal commis sce-Power Advisor Setup,Power Advisor,,DGRID-EMS-EMS SW,Operations Management,DGRID,EMS,EMS SW,DGRID-EMS-EMS SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Operations Management,Power,,,,,,
Boehringer Ingelheim,CPG (F&B/LifeSci),MCTA,Brian Ascensio,1,,,,,,,,,,ESSMS - Software & Managed Services,ESSMS,ESSMS,,Current,ESS,ESS,,,ITDCM,IT,1,,,Datacenter;Microgrid;EcoStruxure Building,1,Building,0,0,,,,,ESSMS - Software & Managed Services,ESSMS,ESSMS,,Current,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPIBS,Digital Services,Asset Advisor Subsc,0,DPIBS-Digital Services-Asset Advisor Subsc,Power Advisor,,DGRID-EPO-EPO ARR,Grid Edge,DGRID,EPO,EPO ARR,DGRID-EPO-EPO ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Boston Scientific,CPG (F&B/LifeSci),MCTA,Travis Graham,1,,,,,,,,,,IDADS - Ind Professional Services,IDADS,ESEEP,,OLD,ESS,ESS,,,PTSOL,Power,0.5,,,Datacenter;Microgrid;EcoStruxure Power,1,Power,0,0,,,,,IDADS - Ind Professional Services,IDADS,ESEEP,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPIBS,Digital Services,Ecostruxure Sce Plan,0,DPIBS-Digital Services-Ecostruxure Sce Plan,Power Advisor,,DGRID-EPO-EPO SVC,Grid Edge,DGRID,EPO,EPO SVC,DGRID-EPO-EPO SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Bunge,CPG (F&B/LifeSci)(excl),MCTA,Removed,0,,,,,,,,,,INADS - Energy Advanced Services,INADS,ESEEP,,OLD,ESS,ESS,,,PTPRD,Building,0.5,,,Datacenter;Service Dependent,0,0,0,0,,,,,INADS - Energy Advanced Services,INADS,ESEEP,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPIBS,Digital Services,Power Advisor Subsc,0,DPIBS-Digital Services-Power Advisor Subsc,Power Advisor,,DGRID-EPO-EPO SW,Grid Edge,DGRID,EPO,EPO SW,DGRID-EPO-EPO SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Canopy,CPG (F&B/LifeSci),CTA,Travis Graham,1,,,,,,,,,,ITADS - IT Professional Services,ITADS,ESEEP,,OLD,ESS,ESS,,,PTSL2,Building,1,,,Datacenter;Service Dependent;EcoStruxure IT,1,IT,0,0,,,,,ITADS - IT Professional Services,ITADS,ESEEP,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPSOL,Soft & Services,Cybersec Service,1,DPSOL-Soft & Services-Cybersec Service,Power CyberSec,,DGRID-FIBER MANAGER-FIBER MANAGER ARR,Asset Management,DGRID,FIBER MANAGER,FIBER MANAGER ARR,DGRID-FIBER MANAGER-FIBER MANAGER ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Cargill,CPG (F&B/LifeSci),Strategic,Mariann Friedman,1,,,,,,,,,,IVMON - Invensys - Monitoring,IVMON,ESMON,,OLD,ESS,ESS,,,PTIBS,Building,0.5,,,Datacenter;Solar;Microgrid;Distributed IT;EcoStruxure IT,1,IT,0,0,,,,,IVMON - Invensys - Monitoring,IVMON,ESMON,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPSOL,Soft & Services,Facility Advisor,1,DPSOL-Soft & Services-Facility Advisor,Power Fac Adv,,DGRID-FIBER MANAGER-FIBER MANAGER SVC,Asset Management,DGRID,FIBER MANAGER,FIBER MANAGER SVC,DGRID-FIBER MANAGER-FIBER MANAGER SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Coca Cola,CPG (F&B/LifeSci),MCTA,Bill Bardsley,1,,,,,,,,,,PTADS - Power Professional Services,PTADS,ESEEP,,OLD,ESS,ESS,,,INENP,Power,0.5,,,Datacenter;Supplier B2B Initiative,0,0,0,0,,,,,PTADS - Power Professional Services,PTADS,ESEEP,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPSOL,Soft & Services,Facility Expert,1,DPSOL-Soft & Services-Facility Expert,Power Fac Expert,,DGRID-FIBER MANAGER-FIBER MANAGER SW,Asset Management,DGRID,FIBER MANAGER,FIBER MANAGER SW,DGRID-FIBER MANAGER-FIBER MANAGER SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Asset Management,Power,,,,,,
Colgate Palmolive,CPG (F&B/LifeSci),MCTA,Lisa Causarano,1,,,,,,,,,,PWADS - Power Services,PWADS,ESEEP,,OLD,ESS,ESS,,,INENS,Grid,0.5,,,Distributed IT,0,0,0,0,,,,,PWADS - Power Services,PWADS,ESEEP,,OLD,ESS,ESS - Base,ESS,Outside NAM Ops,ESS,ESS w.o PC,ESS w.o PC,,,,,,,,,Power,DPSOL,Soft & Services,FEFA on Demand Service,1,DPSOL-Soft & Services-FEFA on Demand Service,Power Advisor,,DGRID-HES-HES ARR,Grid Edge,DGRID,HES,HES ARR,DGRID-HES-HES ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Eli Lilly,CPG (F&B/LifeSci),CTA,Travis Graham,1,,,,,,,,,,IVRES - Invensys - Residential,IVRES,PTCLT,,OLD,Home & Distribution,Home & Distribution,,,,,,,,Distributed IT;Commercial & Industrial,0,0,0,0,,,,,IVRES - Invensys - Residential,IVRES,HDCLT,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Power,DPSOL,Soft & Services,PM Cloud Sw Sce PA,1,DPSOL-Soft & Services-PM Cloud Sw Sce PA,Power Advisor,,DGRID-HES-HES SVC,Grid Edge,DGRID,HES,HES SVC,DGRID-HES-HES SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Ferrero,CPG (F&B/LifeSci),Strategic,Don King,1,,,,,,,,,,LSCMS - Cable Management Systems,LSCMS,PTCLC,,OLD,Home & Distribution,Home & Distribution,,,,,,,,Distributed IT;EcoStruxure Building,1,Building,0,0,,,,,LSCMS - Cable Management Systems,LSCMS,HDCLC,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Power,DPSOL,Soft & Services,PM Cloud Sw Sce PEEMCP,1,DPSOL-Soft & Services-PM Cloud Sw Sce PEEMCP,Power Advisor,,DGRID-HES-HES SW,Grid Edge,DGRID,HES,HES SW,DGRID-HES-HES SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Johnson & Johnson,CPG (F&B/LifeSci),Strategic,Lisa Causarano,1,,,,,,,,,,LSLCA - Light.Ctrl/Home Autom.,LSLCA,PTCLS,,OLD,Home & Distribution,Home & Distribution,,,,,,,,Distributed IT;EcoStruxure Building;EcoStruxure IT,1,Building,IT,0,,,,,LSLCA - Light.Ctrl/Home Autom.,LSLCA,HDCLS,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Power,DPSOL,Soft & Services,PM Digital Service,1,DPSOL-Soft & Services-PM Digital Service,Power Advisor,,DGRID-LVA-LVA ARR,Grid Edge,DGRID,LVA,LVA ARR,DGRID-LVA-LVA ARR,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Kimberly Clark,CPG (F&B/LifeSci),CTA,Bill Bardsley,1,,,,,,,,,,LSNCO - Network Connectivity,LSNCO,PTNCO,Digital Energy,OLD,Home & Distribution,Home & Distribution,,,,,,,,Distributed IT;EcoStruxure IT,1,IT,0,0,,,,,LSNCO - Network Connectivity,LSNCO,HDCLN,Digital Energy,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Power,DPSOL,Soft & Services,PM Edge PME,1,DPSOL-Soft & Services-PM Edge PME,Power PME,,DGRID-LVA-LVA SVC,Grid Edge,DGRID,LVA,LVA SVC,DGRID-LVA-LVA SVC,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
Mars,CPG (F&B/LifeSci),Strategic,Bill Bardsley,1,,,,,,,,,,LSWDA - Wiring devices,LSWDA,PTCLD,,OLD,Home & Distribution,Home & Distribution,,,,,,,,Distributed IT;EcoStruxure IT;Commercial & Industrial,1,IT,0,0,,,,,LSWDA - Wiring devices,LSWDA,HDCLD,,OLD,Home & Distribution,Home & Distribution,Home & Distribution,NAM Ops,Energy Management,Energy Mgmt w.o Services,Home & Distribution,,,,,,,,,Power,DPSOL,Soft & Services,PM Edge PSOPO,1,DPSOL-Soft & Services-PM Edge PSOPO,Power PSO,,DGRID-LVA-LVA SW,Grid Edge,DGRID,LVA,LVA SW,DGRID-LVA-LVA SW,1,0,ENM DIGITAL ENERGY,DIGITAL GRID,DGRID-Grid Edge,Power,,,,,,
